"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2003-10-21" NA NA NA NA NA NA
"2003-10-22" 449.769989 449.769989 449.769989 449.769989 0 449.769989
"2003-10-23" 454.959991 454.959991 454.959991 454.959991 0 454.959991
"2003-10-24" 461.109985 461.109985 461.109985 461.109985 0 461.109985
"2003-10-27" 457.970001 457.970001 457.970001 457.970001 0 457.970001
"2003-10-28" 469.470001 469.470001 469.470001 469.470001 0 469.470001
"2003-10-29" NA NA NA NA NA NA
"2003-10-30" 462.619995 462.619995 462.619995 462.619995 0 462.619995
"2003-10-31" 466.950012 466.950012 466.950012 466.950012 0 466.950012
"2003-11-03" NA NA NA NA NA NA
"2003-11-04" NA NA NA NA NA NA
"2003-11-05" NA NA NA NA NA NA
"2003-11-06" 467.369995 467.369995 467.369995 467.369995 0 467.369995
"2003-11-07" NA NA NA NA NA NA
"2003-11-10" NA NA NA NA NA NA
"2003-11-11" 437.290009 437.290009 437.290009 437.290009 0 437.290009
"2003-11-12" 449.75 449.75 449.75 449.75 0 449.75
"2003-11-13" 459.839996 459.839996 459.839996 459.839996 0 459.839996
"2003-11-14" NA NA NA NA NA NA
"2003-11-17" 449.480011 449.480011 449.480011 449.480011 0 449.480011
"2003-11-18" 439.25 439.25 439.25 439.25 0 439.25
"2003-11-19" NA NA NA NA NA NA
"2003-11-20" NA NA NA NA NA NA
"2003-11-21" 443.809998 443.809998 443.809998 443.809998 0 443.809998
"2003-11-24" NA NA NA NA NA NA
"2003-11-25" NA NA NA NA NA NA
"2003-11-26" NA NA NA NA NA NA
"2003-11-28" NA NA NA NA NA NA
"2003-12-01" 480.100006 480.100006 480.100006 480.100006 0 480.100006
"2003-12-02" 480.149994 480.149994 480.149994 480.149994 0 480.149994
"2003-12-03" 472.75 472.75 472.75 472.75 0 472.75
"2003-12-04" 472.450012 472.450012 472.450012 472.450012 0 472.450012
"2003-12-05" 471.559998 471.559998 471.559998 471.559998 0 471.559998
"2003-12-08" 472.76001 472.76001 472.76001 472.76001 0 472.76001
"2003-12-09" NA NA NA NA NA NA
"2003-12-10" 459.350006 459.350006 459.350006 459.350006 0 459.350006
"2003-12-11" NA NA NA NA NA NA
"2003-12-12" 471.809998 471.809998 471.809998 471.809998 0 471.809998
"2003-12-15" 468.589996 468.589996 468.589996 468.589996 0 468.589996
"2003-12-16" 469.369995 469.369995 469.369995 469.369995 0 469.369995
"2003-12-17" NA NA NA NA NA NA
"2003-12-18" NA NA NA NA NA NA
"2003-12-19" 475.720001 475.720001 475.720001 475.720001 0 475.720001
"2003-12-22" 479.910004 479.910004 479.910004 479.910004 0 479.910004
"2003-12-23" 485.100006 485.100006 485.100006 485.100006 0 485.100006
"2003-12-24" 487.859985 487.859985 487.859985 487.859985 0 487.859985
"2003-12-26" NA NA NA NA NA NA
"2003-12-29" 493.070007 493.070007 493.070007 493.070007 0 493.070007
"2003-12-30" NA NA NA NA NA NA
"2003-12-31" NA NA NA NA NA NA
"2004-01-02" 493.220001 493.220001 493.220001 493.220001 0 493.220001
"2004-01-05" 491.070007 491.070007 491.070007 491.070007 0 491.070007
"2004-01-06" NA NA NA NA NA NA
"2004-01-07" NA NA NA NA NA NA
"2004-01-08" 498.23999 498.23999 498.23999 498.23999 0 498.23999
"2004-01-09" 499.700012 499.700012 499.700012 499.700012 0 499.700012
"2004-01-12" 496.589996 496.589996 496.589996 496.589996 0 496.589996
"2004-01-13" NA NA NA NA NA NA
"2004-01-14" NA NA NA NA NA NA
"2004-01-15" 500.769989 500.769989 500.769989 500.769989 0 500.769989
"2004-01-16" 517.530029 517.530029 517.530029 517.530029 0 517.530029
"2004-01-20" NA NA NA NA NA NA
"2004-01-21" NA NA NA NA NA NA
"2004-01-22" NA NA NA NA NA NA
"2004-01-23" NA NA NA NA NA NA
"2004-01-26" 526.809998 526.809998 526.809998 526.809998 0 526.809998
"2004-01-27" NA NA NA NA NA NA
"2004-01-28" 511.600006 511.600006 511.600006 511.600006 0 511.600006
"2004-01-29" 523.650024 523.650024 523.650024 523.650024 0 523.650024
"2004-01-30" 515.440002 515.440002 515.440002 515.440002 0 515.440002
"2004-02-02" NA NA NA NA NA NA
"2004-02-03" 526.419983 526.419983 526.419983 526.419983 0 526.419983
"2004-02-04" NA NA NA NA NA NA
"2004-02-05" NA NA NA NA NA NA
"2004-02-06" 520.190002 520.190002 520.190002 520.190002 0 520.190002
"2004-02-09" NA NA NA NA NA NA
"2004-02-10" NA NA NA NA NA NA
"2004-02-11" NA NA NA NA NA NA
"2004-02-12" NA NA NA NA NA NA
"2004-02-13" 530.450012 530.450012 530.450012 530.450012 0 530.450012
"2004-02-17" 533.26001 533.26001 533.26001 533.26001 0 533.26001
"2004-02-18" 539.900024 539.900024 539.900024 539.900024 0 539.900024
"2004-02-19" NA NA NA NA NA NA
"2004-02-20" NA NA NA NA NA NA
"2004-02-23" 530.159973 530.159973 530.159973 530.159973 0 530.159973
"2004-02-24" 530.070007 530.070007 530.070007 530.070007 0 530.070007
"2004-02-25" 536.400024 536.400024 536.400024 536.400024 0 536.400024
"2004-02-26" 546.840027 546.840027 546.840027 546.840027 0 546.840027
"2004-02-27" 546.289978 546.289978 546.289978 546.289978 0 546.289978
