"SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
"2014-07-17" 197.350006 198.100006 195.429993 195.710007 145398000 178.096512
"2014-07-18" 196.350006 197.910004 196.240005 197.710007 124330000 179.916458
"2014-07-21" 197.089996 197.5 196.429993 197.339996 67592000 179.579758
"2014-07-22" 198.009995 198.559998 197.869995 198.199997 67678000 180.36235
"2014-07-23" 198.5 198.850006 198.100006 198.639999 65612000 180.762772
"2014-07-24" 198.830002 199.059998 198.449997 198.649994 56888000 180.771896
"2014-07-25" 198.089996 198.259995 197.330002 197.720001 76837000 179.925583
"2014-07-28" 197.759995 198.089996 196.619995 197.800003 69259000 179.998367
"2014-07-29" 198.169998 198.449997 196.919998 196.949997 80466000 179.224869
"2014-07-30" 197.649994 197.910004 196.160004 196.979996 104222000 179.252197
"2014-07-31" 195.610001 195.779999 192.970001 193.089996 183479000 175.712265
"2014-08-01" 192.559998 193.759995 191.570007 192.5 189261000 175.175385
"2014-08-04" 192.869995 194.300003 192.050003 193.889999 91340000 176.440308
"2014-08-05" 193.100006 193.600006 191.309998 192.009995 152690000 174.729431
"2014-08-06" 191.110001 192.889999 191.080002 192.070007 94818000 174.784042
"2014-08-07" 192.940002 193.130005 190.550003 191.029999 135733000 173.837677
"2014-08-08" 191.460007 193.369995 190.949997 193.240005 117014000 175.84877
"2014-08-11" 193.970001 194.660004 193.710007 193.800003 74544000 176.358383
"2014-08-12" 193.610001 194.149994 192.940002 193.529999 73632000 176.112686
"2014-08-13" 194.289993 195.059998 193.960007 194.839996 69047000 177.304764
"2014-08-14" 195.160004 195.759995 194.979996 195.759995 57371000 178.141937
"2014-08-15" 196.470001 196.649994 194.309998 195.720001 139951000 178.105576
"2014-08-18" 196.800003 197.449997 196.690002 197.360001 75424000 179.597977
"2014-08-19" 197.839996 198.539993 197.440002 198.389999 59135000 180.535263
"2014-08-20" 198.119995 199.160004 198.080002 198.919998 72763000 181.017578
"2014-08-21" 199.089996 199.759995 198.929993 199.5 67791000 181.545349
"2014-08-22" 199.339996 199.690002 198.740005 199.190002 76107000 181.26329
"2014-08-25" 200.139999 200.589996 199.149994 200.199997 63855000 182.182388
"2014-08-26" 200.330002 200.820007 200.279999 200.330002 47298000 182.30069
"2014-08-27" 200.429993 200.570007 199.940002 200.25 47874000 182.227921
"2014-08-28" 199.589996 200.270004 199.389999 200.139999 58330000 182.127777
"2014-08-29" 200.449997 200.729996 199.820007 200.710007 65907000 182.646484
"2014-09-02" 200.970001 201 199.860001 200.610001 72426000 182.555466
"2014-09-03" 201.380005 201.410004 200.220001 200.5 57462000 182.455399
"2014-09-04" 200.839996 201.580002 199.660004 200.210007 85236000 182.191467
"2014-09-05" 200.169998 201.190002 199.410004 201.110001 102177000 183.010452
"2014-09-08" 200.919998 201.210007 200 200.589996 64146000 182.537277
"2014-09-09" 200.410004 200.550003 198.910004 199.320007 88591000 181.381607
"2014-09-10" 199.429993 200.199997 198.770004 200.070007 67251000 182.064102
"2014-09-11" 199.270004 200.330002 199.119995 200.300003 66774400 182.273392
"2014-09-12" 200.100006 200.119995 198.559998 199.130005 117409300 181.208664
"2014-09-15" 199.160004 199.320007 198.380005 198.979996 76401000 181.072159
"2014-09-16" 198.610001 200.839996 198.5 200.479996 116201000 182.437164
"2014-09-17" 200.770004 201.679993 199.75 200.75 151266000 182.682892
"2014-09-18" 201.360001 201.850006 201.100006 201.820007 94990000 183.656586
"2014-09-19" 201.520004 201.899994 200.289993 200.699997 121649000 183.491257
"2014-09-22" 200.350006 200.380005 198.729996 199.149994 125553000 182.074188
"2014-09-23" 198.429993 199.259995 197.949997 198.009995 111393000 181.031921
"2014-09-24" 198.039993 199.690002 197.520004 199.559998 107276000 182.44902
"2014-09-25" 199.039993 199.050003 196.270004 196.339996 150300000 179.505051
"2014-09-26" 196.699997 198.389999 196.419998 197.899994 103547000 180.931366
"2014-09-29" 196.199997 197.889999 196.050003 197.539993 95112000 180.602203
"2014-09-30" 197.690002 198.300003 196.610001 197.020004 131302000 180.126862
"2014-10-01" 196.699997 196.770004 193.910004 194.350006 177798000 177.685776
"2014-10-02" 194.179993 195.059998 192.350006 194.380005 157285000 177.713165
"2014-10-03" 195.679993 196.940002 195.080002 196.520004 121569000 179.669708
"2014-10-06" 197.339996 197.600006 195.580002 196.289993 104778000 179.459396
"2014-10-07" 195.279999 195.720001 193.220001 193.259995 147913000 176.689209
"2014-10-08" 193.369995 196.919998 192.360001 196.639999 186461000 179.779404
"2014-10-09" 196.330002 196.600006 192.580002 192.740005 210705000 176.213806
"2014-10-10" 192.690002 193.649994 190.490005 190.539993 221909000 174.202469
"2014-10-13" 190.460007 191.149994 187.300003 187.410004 230939000 171.340805
"2014-10-14" 188.419998 189.820007 187.039993 187.699997 215847000 171.605942
"2014-10-15" 185.160004 187.690002 181.919998 186.429993 380715000 170.444794
"2014-10-16" 183.059998 187.580002 182.889999 186.270004 270391000 170.298569
"2014-10-17" 188.419998 189.75 187.619995 188.470001 214625000 172.309937
"2014-10-20" 188.130005 190.449997 188.070007 190.300003 130011000 173.983002
"2014-10-21" 191.679993 194.199997 191.479996 194.070007 154949000 177.429764
"2014-10-22" 194.410004 194.910004 192.610001 192.690002 151822000 176.168045
"2014-10-23" 194.619995 196.199997 194.259995 194.929993 154944000 178.216034
"2014-10-24" 195.25 196.490005 194.490005 196.429993 117927000 179.587402
"2014-10-27" 195.729996 196.449997 195.029999 196.160004 82954000 179.34053
"2014-10-28" 196.820007 198.419998 196.729996 198.410004 106736000 181.397629
"2014-10-29" 198.550003 199.119995 196.800003 198.110001 142557000 181.123352
"2014-10-30" 197.580002 199.949997 197.399994 199.380005 113330000 182.284424
"2014-10-31" 201.779999 201.820007 200.770004 201.660004 146903000 184.368958
"2014-11-03" 201.919998 202.449997 201.309998 201.770004 93600000 184.469543
"2014-11-04" 201.229996 201.600006 200.059998 201.070007 93343000 183.829575
"2014-11-05" 202.539993 202.589996 201.449997 202.339996 91709000 184.990662
"2014-11-06" 202.389999 203.259995 201.639999 203.149994 107089000 185.731186
