"price.open" "price.high" "price.low" "price.close" "volume" "adjusted" "ref.date" "ticker"
"728" NA NA NA NA NA NA 2006-11-01 "NBI"
"729" NA NA NA NA NA NA 2006-11-02 "NBI"
"730" NA NA NA NA NA NA 2006-11-03 "NBI"
"731" NA NA NA NA NA NA 2006-11-06 "NBI"
"732" NA NA NA NA NA NA 2006-11-07 "NBI"
"733" NA NA NA NA NA NA 2006-11-08 "NBI"
"734" NA NA NA NA NA NA 2006-11-09 "NBI"
"735" 818.51001 818.51001 818.51001 818.51001 0 818.51001 2006-11-10 "NBI"
"736" NA NA NA NA NA NA 2006-11-13 "NBI"
"737" NA NA NA NA NA NA 2006-11-14 "NBI"
"738" NA NA NA NA NA NA 2006-11-15 "NBI"
"739" NA NA NA NA NA NA 2006-11-16 "NBI"
"740" NA NA NA NA NA NA 2006-11-17 "NBI"
"741" NA NA NA NA NA NA 2006-11-20 "NBI"
"742" NA NA NA NA NA NA 2006-11-21 "NBI"
"743" NA NA NA NA NA NA 2006-11-22 "NBI"
"744" NA NA NA NA NA NA 2006-11-24 "NBI"
"745" NA NA NA NA NA NA 2006-11-27 "NBI"
"746" NA NA NA NA NA NA 2006-11-28 "NBI"
"747" NA NA NA NA NA NA 2006-11-29 "NBI"
"748" NA NA NA NA NA NA 2006-11-30 "NBI"
"749" NA NA NA NA NA NA 2006-12-01 "NBI"
"750" NA NA NA NA NA NA 2006-12-04 "NBI"
"751" NA NA NA NA NA NA 2006-12-05 "NBI"
"752" NA NA NA NA NA NA 2006-12-06 "NBI"
"753" NA NA NA NA NA NA 2006-12-07 "NBI"
"754" NA NA NA NA NA NA 2006-12-08 "NBI"
"755" NA NA NA NA NA NA 2006-12-11 "NBI"
"756" NA NA NA NA NA NA 2006-12-12 "NBI"
"757" NA NA NA NA NA NA 2006-12-13 "NBI"
"758" NA NA NA NA NA NA 2006-12-14 "NBI"
"759" NA NA NA NA NA NA 2006-12-15 "NBI"
"760" NA NA NA NA NA NA 2006-12-18 "NBI"
"761" NA NA NA NA NA NA 2006-12-19 "NBI"
"762" NA NA NA NA NA NA 2006-12-20 "NBI"
"763" NA NA NA NA NA NA 2006-12-21 "NBI"
"764" NA NA NA NA NA NA 2006-12-22 "NBI"
"765" NA NA NA NA NA NA 2006-12-26 "NBI"
"766" NA NA NA NA NA NA 2006-12-27 "NBI"
"767" NA NA NA NA NA NA 2006-12-28 "NBI"
"768" NA NA NA NA NA NA 2006-12-29 "NBI"
"769" NA NA NA NA NA NA 2007-01-03 "NBI"
"770" NA NA NA NA NA NA 2007-01-04 "NBI"
"771" NA NA NA NA NA NA 2007-01-05 "NBI"
"772" NA NA NA NA NA NA 2007-01-08 "NBI"
"773" NA NA NA NA NA NA 2007-01-09 "NBI"
"774" NA NA NA NA NA NA 2007-01-10 "NBI"
"775" NA NA NA NA NA NA 2007-01-11 "NBI"
"776" NA NA NA NA NA NA 2007-01-12 "NBI"
"777" NA NA NA NA NA NA 2007-01-16 "NBI"
"778" NA NA NA NA NA NA 2007-01-17 "NBI"
"779" NA NA NA NA NA NA 2007-01-18 "NBI"
"780" NA NA NA NA NA NA 2007-01-19 "NBI"
"781" NA NA NA NA NA NA 2007-01-22 "NBI"
"782" NA NA NA NA NA NA 2007-01-23 "NBI"
"783" NA NA NA NA NA NA 2007-01-24 "NBI"
"784" NA NA NA NA NA NA 2007-01-25 "NBI"
"785" NA NA NA NA NA NA 2007-01-26 "NBI"
"786" NA NA NA NA NA NA 2007-01-29 "NBI"
"787" NA NA NA NA NA NA 2007-01-30 "NBI"
"788" NA NA NA NA NA NA 2007-01-31 "NBI"
"789" NA NA NA NA NA NA 2007-02-01 "NBI"
"790" NA NA NA NA NA NA 2007-02-02 "NBI"
"791" NA NA NA NA NA NA 2007-02-05 "NBI"
"792" NA NA NA NA NA NA 2007-02-06 "NBI"
"793" NA NA NA NA NA NA 2007-02-07 "NBI"
"794" NA NA NA NA NA NA 2007-02-08 "NBI"
"795" 820.169983 820.169983 820.169983 820.169983 0 820.169983 2007-02-09 "NBI"
"796" NA NA NA NA NA NA 2007-02-12 "NBI"
"797" NA NA NA NA NA NA 2007-02-13 "NBI"
"798" NA NA NA NA NA NA 2007-02-14 "NBI"
"799" NA NA NA NA NA NA 2007-02-15 "NBI"
"800" NA NA NA NA NA NA 2007-02-16 "NBI"
"801" NA NA NA NA NA NA 2007-02-20 "NBI"
"802" NA NA NA NA NA NA 2007-02-21 "NBI"
"803" NA NA NA NA NA NA 2007-02-22 "NBI"
"804" 826.559998 826.559998 826.559998 826.559998 0 826.559998 2007-02-23 "NBI"
"805" NA NA NA NA NA NA 2007-02-26 "NBI"
"806" NA NA NA NA NA NA 2007-02-27 "NBI"
"807" NA NA NA NA NA NA 2007-02-28 "NBI"
"808" NA NA NA NA NA NA 2007-03-01 "NBI"
"809" NA NA NA NA NA NA 2007-03-02 "NBI"
